UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO
GO,CIDADE OCIDENTAL,UBS FAMILIA PARQUE ESTRELA DALVA,QUADRA 109 LOTE,9,ESTRELA DALVA III
GO,CIDADE OCIDENTAL,UBS FAMILIA SQ 15,SQ 17 QD 06 A E,S/N,CENTRO
GO,CIDADE OCIDENTAL,CENTRO DE REABILITACAO E PREVENCAO CIDADE OCIDENTAL,SQ 15 QD 09,S/N,CENTRO
GO,CIDADE OCIDENTAL,UBS FAMILIA PARQUE NAPOLIS A,QD 28 CASA,2,P NAPOLIS A
GO,CIDADE OCIDENTAL,UBS FAMILIA PARQUE NAPOLIS A 1,RUA VITORIA QUADRA 01 LOTE,1,PARQUE NAPOLIS A
GO,CIDADE OCIDENTAL,REDE DE FRIO DE CIDADE OCIDENTAL,SQ 13 QD 02 CASA,39,CENTRO
GO,CIDADE OCIDENTAL,UBS FAMILIA SQ 19,SQ 19 QUADRA 18 AREA ESPECIAL 01,S/N,CENTRO
GO,CIDADE OCIDENTAL,UBS FAMILIA OCIDENTAL PARK,RUA 32 QD 27 A E 17,S/N,OCIDENTAL PARK
GO,CIDADE OCIDENTAL,UBS FAMILIA FRIBURGO B,QD 25 A E,S/N,FIBURGO B
GO,CIDADE OCIDENTAL,UBS FAMILIA SQ 18,SQ 18 QUADRA 03 CASA,36,CENTRO
GO,CIDADE OCIDENTAL,UBS FAMILIA DOM BOSCO,SQ 19 QUADRA 18 AREA ESPECIAL 01,S/N,CENTRO
GO,CIDADE OCIDENTAL,UBS FAMILIA SQ 12,SQ 10 QD 27 A E,S/N,CENTRO
GO,CIDADE OCIDENTAL,UBS FAMILIA FRIBURGO A,RUA 03 QUADRA 03 LOTE,15,FRIBURGO A
GO,COCALZINHO DE GOIAS,UNIDADE DE SAUDE PSF V,RUA BERILO ESQ C LILLI CURADO,S/N,SETOR BELA VISTA
GO,COCALZINHO DE GOIAS,UNIDADE DE SAUDE PSF I,AV ANAPOLIS,1,CENTRO
GO,COCALZINHO DE GOIAS,UNIDADE DE SAUDE CLINICAS ESPECIALIZADAS,2 AVENIDA SN,S/N,DIST DE GIRASSOL
GO,COCALZINHO DE GOIAS,UNIDADE DE SAUDE PSF II,RUA 01 ESQ RUA CONTORNO,S/N,DISTRITO DE GIRASSOL
GO,COCALZINHO DE GOIAS,UNIDADE DE SAUDE PSF III,RUA DIVISORA ESQ C RUA 4,0,DIST DE EDILANDIA
GO,COCALZINHO DE GOIAS,UNIDADE DE SAUDE PSF VII,AVENIDA SEM NOME,S/N,DISTRITO DE GIRASSOL
GO,COLINAS DO SUL,POSTO DE SAUDE CHAPADINHA,ZONA RURAL,S/N,RURAL
GO,COLINAS DO SUL,POSTO DE SAUDE LAGES,ZONA RURAL,S/N,RURAL
GO,COLINAS DO SUL,POSTO DE SAUDE DISTRITO VILA BORBA COLINAS DO SUL GO,VILA BORBA,S/N,ZONA RURAL
GO,COLINAS DO SUL,PSF COLINAS DO SUL GO,RUA 13 DE MAIO ESQ C RUA ANHANGUERA,S/N,CENTRO
GO,CORREGO DO OURO,CENTRO DE SAUDE CORREGO DO OURO,AVN TIRADENTES,5,CENTRO
GO,CORUMBA DE GOIAS,UNIDADE DE SAUDE DA FAMILIA ANTONIO MARMO FERREIRA SANTANA,AV PROFESSOR FRANCISCO BRUNO,S/N,ALTO DA BOA VISTA
GO,CORUMBA DE GOIAS,UNIDADE DE SAUDE DA FAMILIA MARIO CURADO,RUA 03,1,9 DE JULHO
GO,CORUMBAIBA,ESTRATEGIA DE SAUDE DA FAMILIA II,RUA FREI LUIZ TOMAZ FLORES,S/N,VILA NOVA
GO,CORUMBAIBA,ESTRATEGIA DE SAUDE DA FAMILIA I,RUA DIVINO CARLOS DA SILVA,S/N,SETOR SUL
GO,CRISTALINA,PSF SANTA CLARA,RUA 03,S/N,SETOR GUANABARA
GO,CRISTALINA,PSF MARAJO,SETOR D AREA ESPECIAL MANSOES MARAJO,S/N,CAMPOS LINDOS
GO,CRISTALINA,SAD SERVICO DE ATENDIMENTO DOMICILIAR,AV KALED COSAC,2,CENTRO
GO,CRISTALINA,PSF ZONA SUL NOVA,AV INACIO JORGE DOS SANTOS,S/N,ZONA SUL NOVA
GO,CRISTALINA,PSF RENASCER,RUA OTTO MOHN,S/N,POVOADO DE SAO BARTO
GO,CRISTALINA,PSF CENTRO,RUA GETULIO VARGAS,1834,CENTRO
GO,CRISTALINA,PSF SERRA DOS CRISTAIS,RUA SETE DE SETEMBRO,1834,CENTRO
GO,CRISTALINA,PSF BELVEDERE,RUA PALMEIRAS ESQUINA COM A RUA PAU BRASIL,1,BELVEDERE
GO,CRISTALINA,PSF JOAO BAPTISTA RIGOTTI DE GODOY,AVENIDA FLAMENGO,1,LUSTOSA
GO,CRISTALINA,ESF CHAPEU DO SOL,ZONA RURAL,1,ZONA RURAL
GO,CRISTALINA,PSF ALPHAVILLE DE CRISTALINA,SETOR SIGMA,S/N,CAMPOS LINDOS
GO,CRISTALINA,PSF BEM VIVER,RUA AUGUSTO SEVERO,70,SETOR AEROPORTO
GO,CRISTALINA,PSF CRISTALINA VELHA,RUA 15 DE NOVEMBRO,S/N,CRISTALINA VELHA
GO,CRISTALINA,PSF CRISTAL,RUA 23,5,CRISTAL
GO,CRISTALINA,PSF ZONA SUL NOVA II,AV INACIO JORGE DOS SANTOS,1,VILA SAO JOAO
GO,CRISTALINA,UNIDADE PRISIONAL DE CRISTALINA,RUA FLORESTA,8,CRISTALINA VELHA
GO,CRISTALINA,PSF MARAJO II,RUA SEM NOME,,SETOR CENTRAL
GO,CRISTIANOPOLIS,CENTRO DE SAUDE UNIDADE BASICA DE CRISTIANOPOLIS,RUA ROBERTO FELIX,S/N,CENTRO
GO,CRIXAS,UNIDADE DE SAUDE DA FAMILIA III DE CRIXAS,PRACA RODRIGUES THOMAS,S/N,CENTRO
GO,CRIXAS,UNIDADE DE SAUDE DA FAMILIA I DE CRIXAS,AVENIDA DAS OLIVEIRAS,S/N,NOVO HORIZONTE
GO,CRIXAS,UNIDADE DE SAUDE DA FAMILA IV DE CRIXAS,AV BENEDITO ANTONIO DE ARAUJO,S/N,PEDRO MACHADO
GO,CRIXAS,UNIDADE DE SAUDE DA FAMILIA II DE CRIXAS,RUA E,S/N,VILA SAO JOAO
GO,CRIXAS,UNIDADE DA SAUDE DA FAMILIA VI DE CRIXAS,RUA 2008,S/N,NOVO HORIZONTE
GO,CRIXAS,UNIDADE DE SAUDE DA FAMILIA VII DE CRIXAS,PRACA DA SE,S/N,CENTRO
GO,CRIXAS,UNIDADE DA SAUDE DA FAMILIA V CRIXAS,RUA INACIO PEREIRA,S/N,RESIDENCIAL LAGO AZU
GO,CROMINIA,PROGRAMA DE SAUDE DA FAMILIA E LABORATORIO PUBLICO,AV RIO BRANCO QD T LT 8,S/N,CENTRO
GO,CROMINIA,POSTO DE SAUDE DE RONELANDIA,PRACA SANTA BARBARA,S/N,CENTRO
GO,CROMINIA,UBS INACIO MATIAS PEREIRA,AV RIO BRANCO,S/N,SUL
GO,CUMARI,ESTRATEGIA SAUDE DA FAMILIA ESF,RUA JOAO EVANGELISTA DA ROCHA NETO,S/N,CENTRO
GO,CUMARI,CENTRO DE SAUDE DE CUMARI,RUA PROFESSOR MATIAS GALVAO,S/N,CENTRO
GO,DAMIANOPOLIS,CENTRO DE SAUDE DE DAMIANOPOLIS PSF,RUA MANOEL LELIS,S/N,CENTRO
GO,DAMIANOPOLIS,UBS DAMIANOPOLIS,AVENIDA GOIAS,S/N,SETOR BUENO
GO,DAMOLANDIA,UNIDADE DE SAUDE DA FAMILIA JERONYMO ALVES SOBRINHO,RUA ANTONIO DUARTE JUNIOR ESQ C AV DAS PALMEIRAS,S/N,JARDIM ESPERANCA II
GO,DAVINOPOLIS,UNIDADE BASICA DE SAUDE,RUA 2 IRMAOS,1,CENTRO
GO,DAVINOPOLIS,UNIDADE BASICA DE SAUDE SUDARIO JOSE RODOVALHO,AVENIDA DORCILA CANDIDO DE JESUS,S/N,CENTRO
GO,DIORAMA,POSTO DE SAUDE DO PSF DIORAMA,RUA ARAGUAIA,364,CENTRO
GO,DIVINOPOLIS DE GOIAS,UNIDADE DE SAUDE DA FAMILIA PSF DIVINOPOLIS,AV MANOEL DIAS,8,CENTRO
GO,DIVINOPOLIS DE GOIAS,PSF PARQUE ANHANGUERA,AV TOMAZ DE ABREU,S/N,PARQUE ANHANGUERA
GO,DIVINOPOLIS DE GOIAS,PSF ROSENDO DE ABREU NEIVA,DISTRITO DE VAZANTE DIVINOPOLIS,S/N,VAZANTE
GO,DOVERLANDIA,CENTRO DE SAUDE DE DOVERLANDIA,AV RIO DO PEIXE,S/N,CENTRO
GO,EDEALINA,UBS CILAS ALVES VITORIA,RUA 10,1,VISTA BELA
GO,EDEALINA,UBS JOSE LUIZ DA SILVA,MARIA DA SILVA FERRO,1,ALTO PARAISO
GO,EDEIA,POSTO DE SAUDE DA CERAMICA MATUTINA,RUA PADRE MARIO,S/N,CERAMICA
GO,EDEIA,UNIDADE BASICA DE SAUDE EDEIA PSF RURAL,AV WASHINGTON LUIZ,S/N,CENTRO
GO,EDEIA,CENTRO DE SAUDE DE EDEIA IZIDORIO MARTINS,AV JOAQUIM VITAL,S/N,JK
GO,EDEIA,CENTRO DE SAUDE AVELINO FERREIRA DE ARAUJO,RUA TIRADENTES QD 14 LT 02 03,S/N,ALEGRETE
GO,EDEIA,CENTRO DE SAUDE FRANCISCO FAGUNDES DE FREITAS,RUA 5 ESQ C RUA 4,S/N,ALTO DA BOA VISTA
GO,EDEIA,CENTRO DE SAUDE FELIPE ALVES DE FARIA,AV RUI BARBOSA,S/N,CIBRAZEM
GO,ESTRELA DO NORTE,CENTRO DE SAUDE DE ESTRELA DO NORTE,AV GONCALVES DIAS ESQ C RUA 07,392,CENTRO
GO,ESTRELA DO NORTE,CENTRO DE SAUDE ALEXANDRE NETO BOAVENTURA,AV GONCALVES DIAS ESQ C RUA 07,392,VILA MENDES
GO,FAINA,UNIDADE BASICA DE SAUDE DE ARARAS,ARARAS,S/N,ZONA RURAL
GO,FAINA,UNIDADE BASICA DE SAUDE DE FAINA I FRANCISCO VALIM DE MELO,RUA NORONHA,S/N,CENTRO
GO,FAINA,UNIDADE BASICA DE SAUDE DE CAICARA,PRACA ANA VALIN,S/N,DISTRITO DE CAICARA
GO,FAINA,UNIDADE BASICA DE SAUDE DE SANTA RITA BRASILIO RAMOS CAIADO,RUA DA MATA,S/N,POVOADO SANTA RITA
GO,FAZENDA NOVA,CENTRO DE SAUDE DE FAZENDA NOVA,AV RIO GRANDE DO SUL,40,CENTRO
GO,FAZENDA NOVA,POSTO DE SAUDE DE BACILANDIA FAZENDA NOVA,BAIRRO BACILANDIA,S/N,BACILANDIA
GO,FIRMINOPOLIS,CENTRO DE SAUDE DR VANIO DE MELO DE FIRMINOPOLIS,RUA IRMA FRANCISCA,S/N,CENTRO
GO,FIRMINOPOLIS,POSTO DE SAUDE DE SANTO ANTONIO DE FIRMINOPOLIS,AV PARAUNA,S/N,POV DE SANTO ANTONIO
GO,FIRMINOPOLIS,UNIDADE PSF DE NOVO PLANALTO DE FIRMINOPOLIS,RUA ALFREDO NASSER,S/N,N PLANALTO
GO,FIRMINOPOLIS,UBS DONA LOZA,AV GOIANIA,S/N,VILA MARISETE
GO,FIRMINOPOLIS,CENTRO DE SAUDE IRMA FRANCISCA DE FIRMINOPOLIS,RUA ANTONIO BORGES CAMPOS,S/N,VILA PALESTINA
GO,FLORES DE GOIAS,UNIDADE BASICA DE SAUDE DA FAMILIA I SANTA MARIA,RUA CENTRAL,S/N,POVOADO SANTA MARIA
GO,FLORES DE GOIAS,UNIDADE BASICA DE SAUDE DA FAMILIA IV FLORES DE GOIAS,AV ALFREDO NASSER,S/N,NOVA FLORES
GO,FLORES DE GOIAS,UNIDADE BASICA DE SAUDE DA FAMILIA V BELA VISTA,FAZENDA SAO FELIPE ASSENTAMENTO BELA VISTA,S/N,ZONA RURAL
GO,FLORES DE GOIAS,UNIDADE BASICA DE SAUDE DA FAMILIA II SAO VICENTE,EIXO 3 AREA ESPECIAL,S/N,ZONA RURAL
GO,FLORES DE GOIAS,UNIDADE BASICA DE SAUDE DA FAMILIA III FLORES DE GOIAS,AV ALTO DA GLORIA,S/N,ALTO DA GLORIA
GO,FORMOSA,PSF 15 VILA CAROLINA,RUA 01,S/N,VILA CAROLINA
GO,FORMOSA,PSF 09 JARDIM OLIVEIRA,RUA 20,S/N,JARDIM DAS OLIVEIRAS
GO,FORMOSA,PSF 14 VILA VERDE,RUA 21,S/N,PARQUE VILA VERDE
GO,FORMOSA,PSF 02 PAMPULHA,RUA 06,7,PQ DAS LARANJEIRAS
GO,FORMOSA,PSF 03 CALIFORNIA,RUA DOMINICANO,32,JD CALIFORNIA
GO,FORMOSA,PSF 01 FORMOSINHA,RUA 14 ESQUINA C 16,202,FORMOSINHA
GO,FORMOSA,PSF 13 PARQUE LAGO,AV CENTRAL,S/N,PARQUE LAGO
GO,FORMOSA,PSF 08 SANTA ROSA,RUA JOAO FEITOSA DE SOUZA,S/N,ZONA RURAL
GO,FORMOSA,PSF 05 SETOR NORDESTE,AV FERROVIARIA D,367,SETOR NORDESTE
GO,FORMOSA,PSF 06 BEZERRA,RUA 02 LTS 06 E 07 PROXIMO AO CEMITERIO,6,ZONA RURAL
GO,FORMOSA,PSF 07 JK,AV PRINCIPAL,28,CENTRO
GO,FORMOSA,PSF 10 PARANA,AV FERROVIARIA E,S/N,SETOR NORDESTE
GO,FORMOSA,PSF 12 BELA VISTA,RUA 11,S/N,JARDIM BELA VISTA
GO,FORMOSA,PSF 11 SETOR SUL,RUA 20,S/N,SETOR SUL
GO,FORMOSA,PSF 17 PADRE JOSE,RUA C,S/N,CONJ HAB PADRE JOSE
GO,FORMOSA,PSF 16 NOVA FORMOSA,RUA 205,S/N,NOVA FORMOSA
GO,FORMOSA,PSF 04 JARDIM AMERICA,RUA COSTA RICA,100,JARDIM DAS AMERICAS
GO,FORMOSO,PROGRAMA DE SAUDE DA FAMILIA DE FORMOSO II,1 AVENIDA,S/N,AEROPORTO
GO,FORMOSO,ESF JOAQUIM ALVES ARAUJO,RUA 5,S/N,CENTRO
GO,GAMELEIRA DE GOIAS,UBS GEORGINA AUXILIADORA DE MORAIS,AVENIDA 03,464,CENTRO
GO,GAMELEIRA DE GOIAS,UNIDADE DE SAUDE DONA ODETE,AVENIDA BENEDITO FLEURI,S/N,DISTRITO DE MOCAMBIN
GO,GOIANAPOLIS,UNIDADE DE SAUDE DA FAMILIA PSF III MARIA CAMARGO DE OLIVE,RUA ALAOR DE SA ABREU,88,CENTRO
GO,GOIANAPOLIS,UNIDADE DE SAUDE DA FAMILIA PSF II DIRCE MARTINS SAKAMOTO,AVENIDA JOAO VARGAS SOBRINHO,S/N,SETOR HAMAOKA
GO,GOIANAPOLIS,UNIDADE DE SAUDE DA FAMILIA PSF IV IVA MARIA DE SOUZA,RUA 15 0,S/N,JARDIM PRIMAVERA
GO,GOIANAPOLIS,UNIDADE DE SAUDE DA FAMILIA PSF I ELENIR MARIA ALVES,RUA EDITH RIBEIRO,S/N,VILA NOSSA SENHORA D
GO,GOIANDIRA,ESTRATEGIA SAUDE DA FAMILIA II,AVENIDA MASSILON MARTINS TEIXEIRA,S/N,CENTRO
GO,GOIANDIRA,ESTRATEGIA SAUDE DA FAMILIA I,RUA JOSE ALVES PORTO,31,CENTRO
GO,GOIANDIRA,CENTRO DE SAUDE JOSE ALVES PORTO FILHO GOIANDIRA,RUA ANTONIO VERONEZ,9,CENTRO
GO,GOIANESIA,POSTO DE SAUDE NORALDINO RODRIGUES PORTO,RUA 35,311,SETOR DOS BURITIS
GO,GOIANESIA,POSTO DE SAUDE VALDELICIA DE SOUSA SANTOS AMORIM,RUA 10,544,BAIRRO AMIGO
GO,GOIANESIA,POSTO DE SAUDE MARIA PIEDADE GOIANESIA,AV CONTORNO,S/N,VERA CRUZ
GO,GOIANESIA,POSTO DE SAUDE DE NATINOPOLIS GOIANESIA,PRACA SAO JOAO,S/N,POVOADO DE NATINOPOL
GO,GOIANESIA,CISVALE,RUA 33,420,CENTRO
GO,GOIANESIA,POSTO DE SAUDE SEBASTIANA DE LOURDES RODRIGUES CAMARGO,RUA CERES,S/N,GRANVILLE
GO,GOIANESIA,POSTO DE SAUDE JOAQUIM CORDEIRO TELES,RUA 46,S/N,MORADA NOVA
GO,GOIANESIA,CENTRO DE SAUDE ARTURO BERMURDEZ MAYORGA,RUA 33,305,CENTRO
GO,GOIANESIA,POSTO DE SAUDE DOMINGOS DOS SANTOS SILVA,RUA BRASILIA,168,PARQUE ARAGUAIA
GO,GOIANESIA,POSTO DE SAUDE JOSE BALBINO VIEIRA GOIANESIA,RUA PRINCIPAL,S/N,BARREIRO
GO,GOIANESIA,POSTO DE SAUDE REALINO VIEIRA DA MOTA GOIANESIA,RUA PRINCIPAL,S/N,MORRO BRANCO
GO,GOIANESIA,POSTO DE SAUDE HERMINIO LOPES GOIANESIA,RUA 44,345,DONA FIICA
GO,GOIANESIA,SAUDE NO SISTEMA PRISIONAL,RUA 33,420,CENTRO
GO,GOIANESIA,POSTO DE SAUDE MANOELINO PEREIRA DIAS GOIANESIA,RUA 20,S/N,BOA VISTA
GO,GOIANESIA,POSTO DE SAUDE FRANCISCO PEREIRA DOS SANTOS,RUA 04,273,ST SUL
GO,GOIANESIA,POSTO DE SAUDE GERALDO GOMES GOIANESIA,RUA 53,175,STA TEREZA
GO,GOIANESIA,POSTO DE SAUDE GERALDO ROGERIO,RUA 36,2180,ALDEIA DO MORRO
GO,GOIANESIA,LAR DO IDOSO GOIANESIA,RUA 21,S/N,DONA FICA
GO,GOIANESIA,POSTO DE SAUDE NAIRO CINTRA GOIANESIA,RUA 47,349,MUNIZ FALCAO
GO,GOIANESIA,POSTO DE SAUDE AVELINA GOMES GONCALVES,RUA 28,375,CARRILHO
GO,GOIANESIA,POSTO DE SAUDE AVELINO MODESTO ARAUJO GOIANESIA,RUA POUSO ALEGRE,13,JD ESPERANCA
GO,GOIANESIA,POSTO DE SAUDE MANE CHAPEU GOIANESIA,RUA 27,608,BARSANULFO
GO,GOIANESIA,POSTO DE SAUDE DONA FRANCA GOIANESIA,RUA 35,743,BAIRRO PRIMAVERA
GO,GOIANESIA,POSTO DE SAUDE PEDRO MIGUEL GOIANESIA,AV CONTORNO,1013,VILA NOVA AURORA
GO,GOIANESIA,POSTO DE SAUDE FRANCISCO JOSE MONTEIRO GOIANESIA,PCA DA MATRIZ SANTO ANTONIO,S/N,CAFELANDIA
GO,GOIANESIA,POSTO DE SAUDE DONA MARIA SILVA GOIANESIA,RUA 36,297,SAO CRISTOVAO
GO,GOIANESIA,CENTRO DE REABILITACAO ALCIONE MICLOS,RUA 40,36,DONA FIICA
GO,GOIANESIA,UNIDADE DE SAUDE DE JUSCELANDIA GOIANESIA,PCA DA MATRIZ,S/N,POV DE JUSCELANDIA
GO,GOIANIA,USF VILA MUTIRAO,AVENIDA DO POVO,S/N,VILA MUTIRAO
GO,GOIANIA,USF ANDREIA CRISTINA,AV BLUMENAU,S/N,ANDREIA CRISTINA
GO,GOIANIA,CENTRO DE SAUDE PARQUE INDUSTRIAL JOAO BRAZ,RUA RODRIGUES ALVES C RUA OLIMPIA,S/N,PQ IND JOAO BRAZ
GO,GOIANIA,USF VF18,RUA VF18,S/N,FINSOCIAL
GO,GOIANIA,USF RECANTO DO BOSQUE,RUA TROPICAL,S/N,RECANTO DO BOSQUE
GO,GOIANIA,CENTRO DE SAUDE DR AFONSO HONORATO DA SILVA E SOUZA,RUA 01,S/N,AGUA BRANCA
GO,GOIANIA,USF JARDIM MARILIZA,AVENIDA ARISTOTELES,S/N,JARDIM MARILIZA
GO,GOIANIA,USF WALDOMIRO CRUZ RESIDENCIAL ITAIPU,RUA RI 8 ESQ C RI 31,S/N,RES ITAIPU
GO,GOIANIA,USF RESIDENCIAL YTAPUA,AVENIDA NOEL ROSA,S/N,RESIDENCIAL YTAPUA
GO,GOIANIA,USF JARDIM GUANABARA I,AV NAZARE,S/N,JARD GUANABARA I
GO,GOIANIA,CENTRO DE SAUDE BENEDITO DOS SANTOS VIEIRA,AV PERIM,S/N,SETOR PERIM
GO,GOIANIA,USF GOIANIA VIVA,RUA GV17,S/N,GOIANIA VIVA
GO,GOIANIA,USF MADRE GERMANA,AVENIDA JOSE BARBOSA REIS,S/N,MADRE GERMANA II
GO,GOIANIA,CENTRO DE SAUDE ESPLANADA DO ANICUNS,RUA SAO GOTARDO ESQ COM ALA PROGRESSO,S/N,ESPLANADA DO ANICUNS
GO,GOIANIA,USF VERA CRUZ II,AV LEOPOLDO DE BULHOES,S/N,CONJ VERA CRUZ II
GO,GOIANIA,CENTRO DE SAUDE ISABEL MARIA DA SILVA,RUA 11 DE JUNHO,S/N,VILA MARIA DILCE
GO,GOIANIA,USF SANTO HILARIO,RUA JUSCELINO DA FONSECA RIBEIRO,S/N,SANTO HILARIO
GO,GOIANIA,USF ESTRELA DALVA,RUA 16 DE MAIO,S/N,RECREIO ESRELA DALVA
GO,GOIANIA,USF LUANA PARK,RUA ESTRADA D,S/N,LORENA PARK
GO,GOIANIA,USF CONDOMINIO MORADA DO SOL,RUA BOREAL,S/N,MORADA DO SOL II
GO,GOIANIA,USF BOA VISTA,AV DOS IPES,S/N,BOA VISTA
GO,GOIANIA,USF JARDIM DAS AROEIRAS,RUA COUTO MAGALHAES,S/N,JARDIM DAS AROEIRAS
GO,GOIANIA,C E ATENCAO PROL E CASA APOIO COND SOLIDARIEDADE CEAPSOL,AVENIDA VENEZA,S/N,JARDIM EUROPA
GO,GOIANIA,USF SAO JUDAS TADEU,AV BRASILIA,S/N,SAO JUDAS TADEU
GO,GOIANIA,USF PARQUE ATHENEU,AVENIDA PARQUE ATHENEU,S/N,PARQUE ATHENEU
GO,GOIANIA,CENTRO DE SAUDE CAMPUS SAMAMBAIA,AVENIDA PAU BRASIL,2,CAMPUS SAMAMBAIA
GO,GOIANIA,USF LESTE UNIVERSITARIO,RUA 218 QD AREA PUBLICA,S/N,LESTE UNIVERSITARIO
GO,GOIANIA,USF ANTONIO CARLOS PIRES,RUA ACP 04 ESQUINA ACP 02,S/N,ANTONIO CARLOS PIRES
GO,GOIANIA,USF ELI FORTE,RUA EF 30,S/N,RESIDENCIAL ELI FORT
GO,GOIANIA,USF JARDIM CERRADO VI,RUA JC 202 E 202A,S/N,JARDINS DO CERRADO V
GO,GOIANIA,USF FINSOCIAL,RUA VFG 4,S/N,FINSOCIAL
GO,GOIANIA,USF MORADA VALE DOS SONHOS,RUA MARIA DE JESUS,S/N,RESIDENCIAL VALE DOS
GO,GOIANIA,CENTRO DE SAUDE CIDADE JARDIM MICHELE MUNIZ DO CARMO,PRACA ABEL COIMBRA,S/N,CIDADE JARDIM
GO,GOIANIA,USF VILLE DE FRANCE,RUA PIRES FIGUEIREDO,S/N,RESIDENCIAL VILLE DE
GO,GOIANIA,USF JARDIM MIRABEL,RUA BG 4,S/N,GOIA IV
GO,GOIANIA,CENTRO DE SAUDE VILA CLEMENTE,RUA DOS TAMOIOS,S/N,VILA CLEMENTE
GO,GOIANIA,CENTRO DE SAUDE VILA MORAES,RUA 9 A,S/N,VILA MORAIS
GO,GOIANIA,CENTRO DE SAUDE CONJUNTO RIVIERA,RUA X10,S/N,JARDIM BRASIL
GO,GOIANIA,USF JARDIM GUANABARA III,RUA GB 14 ESQ COM GB 37,S/N,JARDIM GUANABARA III
GO,GOIANIA,CENTRO DE SAUDE CRIMEIA LESTE,RUA SENADOR ANTONIO MARTINS BORGES,S/N,CRIMEIA LESTE
GO,GOIANIA,CENTRO DE SAUDE FAMA,RUA 10,76,ST MARECHAL RONDON
GO,GOIANIA,CENTRO DE SAUDE JOSE EGIDIO MARTINS,RUA U 47 QD 28,S/N,SETOR UNIAO
GO,GOIANIA,USF ARUANA III,RUA URUCARA,S/N,CONJ ARUANA III
GO,GOIANIA,USF ELDORADO OESTE,RUA ELO 22,S/N,ELDORADO OESTE
GO,GOIANIA,USF BAIRRO GOIA,AVENIDA PADRE MONTE,S/N,GOIA
GO,GOIANIA,USF ITATIAIA,RUA R 12,S/N,CONJ ITATIAIA I
GO,GOIANIA,USF JARDIM DOM FERNANDO,RUA 218,S/N,JARDIM DOM FERNANDO
GO,GOIANIA,USF BARRAVENTO,RUA PERCIVAL XAVIER RABELO,S/N,BARRAVENTO
GO,GOIANIA,CENTRO DE SAUDE PARQUE AMAZONIA,PC JOSE RODRIGUES DE MORAIS,S/N,PQ AMAZONIA
GO,GOIANIA,CENTRO DE SAUDE VILA BOA,RUA ALMIRANTE BARROSO,S/N,JD VILA BOA
GO,GOIANIA,USF SAO FRANCISCO,RUA DAS PALMEIRAS ESQ COM BUENO AIRES,S/N,BAIRRO SAO FRANCISCO
GO,GOIANIA,USF VILA REGINA,RUA SAO MIGUEL ESQ COM AVENIDA INHUMAS,S/N,VILA REGINA
GO,GOIANIA,CMAC I CENTRAL DE MEDICAMENTOS DE ALTO CUSTO JUAREZ BARBOSA,R 04 ESQ C AV TOCANTINS,777,CENTRO
GO,GOIANIA,USF VILA PEDROSO,AV SANTA CRUZ,S/N,VILA PEDROSO
GO,GOIANIA,USF CRIMEIA OESTE,AVENIDA GOIAS NORTE ESQ C DOMINGOS L DO PRADO,S/N,CRIMEIA OESTE
GO,GOIANIA,USF RESIDENCIAL REAL CONQUISTA,RUA RC 10,S/N,RESIDENCIAL REAL CON
GO,GOIANIA,USF BRISAS DA MATA,RUA BM 10,S/N,BRISAS DA MATA
GO,GOIANIA,CENTRO DE SAUDE VILA CANAA,RUA LANGENDOEFFER,S/N,VILA CANAA
GO,GOIANIA,USF SAO CARLOS,RUA SC 35,S/N,SAO CARLOS
GO,GOIANIA,CENTRO DE SAUDE JARDIM BALNEARIO MEIA PONTE,RUA DOS GAUCHOS ESQ C PARANAENSES,S/N,BALNEARIO MEIA PONTE
GO,GOIANIA,CENTRO DE SAUDE NORTE FERROVIARIO,RUA 05,S/N,NORTE FERROVIARIO
GO,GOIANIA,USF RECANTO DAS MINAS GERAIS MILITAO R DE ARAUJO,RUA SIENA COM RUA TRENTO,S/N,JARDIM MARIA HELENA
GO,GOIANIA,USF VERA CRUZ I,RUA EUNICE WEVER,S/N,CONJ VERA CRUZ I
GO,GOIANIA,CENTRO DE SAUDE HORTENCIA MENDONCA VILA REDENCAO,RUA 7 ESQUINA COM RUA JD BOTANICO,S/N,VILA REDENCAO
GO,GOIANIA,USF BUENA VISTA,RUA JOAO AMORELLI,S/N,RES BUENA VISTA I
GO,GOIANIA,USF JARDIM PRIMAVERA,RUA CP 38,S/N,JARDIM PRIMAVERA
GO,GOIANIA,USF CONDOMINIO DAS ESMERALDAS,RUA 30,S/N,CONJ ESMERALDA
GO,GOIANIA,USF NOVO PLANALTO,RUA VM 3C,S/N,NOVO PLANALTO
GO,GOIANIA,USF JARDIM CARAVELAS,RUA JCA 12,S/N,JD CARAVELAS
GO,GOIANIA,USF GARAVELO B,AV CENTRAL,S/N,GARAVELO B
GO,GOIANIA,USF PARQUE DOS BURITIS,RUA ROSIMIRA MARQUES,S/N,PARQUE DOS BURITIS
GO,GOIANIA,USF JARDIM CURITIBA I,RUA JC ESQ C AV DO POVO,S/N,JARDIM CURITIBA II
GO,GOIANIA,USF DISTRITO VILA RICA,RUA PRINCIPAL,S/N,CENTRO
GO,GOIANIA,USF BAIRRO DA VITORIA,AVENIDA COMERCIAL,S/N,BAIRRO DA VITORIA
GO,GOIANIA,USF GRAJAU,RUA G 1,S/N,GRAJAU
